player_id,player,birth_year,hof,num_seasons,first_season,last_season
107,Johnny Norlander,1921.0,False,5,1946-47,1950-51
108,Johnny Simmons,,False,1,1946-47,1946-47
109,Ken Corley,,False,1,1946-47,1946-47
110,Ken Keller,,False,1,1946-47,1946-47
111,Kenny Sailors,1921.0,False,5,1946-47,1950-51
112,Kleggie Hermsen,1923.0,False,6,1946-47,1952-53
113,Lee Knorek,1921.0,False,4,1946-47,1949-50
114,Leo Gottlieb,,False,2,1946-47,1947-48
115,Leo Mogus,1921.0,False,4,1946-47,1950-51
116,Leon Brown,,False,1,1946-47,1946-47
117,Lou Spicer,,False,1,1946-47,1946-47
118,Marty Passaglia,,False,2,1946-47,1948-49
119,Matt Guokas,1915.0,False,1,1946-47,1946-47
120,Max Zaslofsky,1925.0,False,10,1946-47,1955-56
121,Mel Hirsch,,False,1,1946-47,1946-47
122,Mel Riebe,,False,3,1946-47,1948-49
123,Michael Bytzura,,False,1,1946-47,1946-47
124,Mickey Rottner,,False,2,1946-47,1947-48
125,Mike McCarron,1922.0,False,2,1946-47,1949-50
126,Milt Schoon,1922.0,False,2,1946-47,1949-50
127,Moe Becker,,False,1,1946-47,1946-47
128,Nat Frankel,,False,1,1946-47,1946-47
129,Nat Militzok,,False,1,1946-47,1946-47
130,Ned Endress,,False,1,1946-47,1946-47
131,Nick Shaback,,False,1,1946-47,1946-47
132,Noble Jorgensen,1925.0,False,5,1946-47,1952-53
133,Norm Baker,,False,1,1946-47,1946-47
134,Ossie Schectman,,False,1,1946-47,1946-47
135,Pete Lalich,,False,1,1946-47,1946-47
136,Petey Rosenberg,,False,1,1946-47,1946-47
137,Pop Goodwin,,False,2,1946-47,1947-48
138,Press Maravich,,False,1,1946-47,1946-47
139,Ralph Kaplowitz,,False,2,1946-47,1947-48
140,Ralph Siewert,,False,1,1946-47,1946-47
141,Ray Wertis,,False,2,1946-47,1947-48
142,Red Dehnert,,False,1,1946-47,1946-47
143,Red Mihalik,,False,1,1946-47,1946-47
144,Red Wallace,,False,1,1946-47,1946-47
145,Roger Jorgensen,,False,1,1946-47,1946-47
